epoch,train_loss,val_loss
1,1.0248357076505616,1.1338009578035138
2,0.8960794790134708,0.9779857813064917
3,0.8477802324524976,0.9190198156916283
4,0.8124479480067379,0.9059262685842291
5,0.6531626509682291,0.7390989065149711
6,0.5886661933509454,0.666158415068364
7,0.6210931106953347,0.6664180713004154
8,0.5279133960145985,0.5745204880990341
9,0.418578822727078,0.4670619736278571
10,0.42629821802278184,0.48843894236750723
11,0.3372769039571979,0.3614211095960119
12,0.30219523201973914,0.3287015756884368
13,0.3060057285198236,0.3144796018916854
14,0.16973241679143986,0.16278152598897044
15,0.15340514481612416,0.18499617574562055
16,0.18828875857166472,0.23424243500024766
17,0.14476889389300499,0.15780558085069882
18,0.19216657524357483,0.23145389072577283
19,0.11393565744047277,0.13256194368547275
20,0.1,0.09709760490789753
21,0.20320504675113718,0.23075346353641918
22,0.10603035106992399,0.1473941175062358
23,0.10931476009212764,0.11952971531914139
24,0.1,0.14129287311628014
25,0.1,0.057605097918205124
26,0.1,0.1264380500875045
27,0.1,0.11174094136476344
28,0.1,0.10401985299068267
29,0.1,0.11183521553071006
30,0.1,0.07024862170798216
31,0.1,0.10560656224324977
32,0.13490134320426003,0.15553372895492096
33,0.1,0.13955788089483034
34,0.1,0.09963459563452706
35,0.1,0.09383012794213626
36,0.1,0.09996485912830928
37,0.1,0.1283080423540415
38,0.1,0.1165750221931937
39,0.1,0.09940479592465924
40,0.1,0.12026534866226714
41,0.1,0.11194155098696082
42,0.1,0.1293728998106578
43,0.1,0.09595893812245297
44,0.1,0.10344675706804465
45,0.1,0.10215783693735686
46,0.1,0.08072970103735765
47,0.1,0.11592240554129153
48,0.1,0.1152211054435978
49,0.1,0.11010226913284923
50,0.1,0.10530825733249707
